 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
 
 rod_temps    1.0100000000000007     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  596.790830  596.649201  596.305488  595.694550  594.702335  593.163228  590.854777  587.494828  582.743577  576.298086  559.478244  556.271412 
Temperature ,  596.793183  596.652124  596.309832  595.701527  594.713797  593.181977  590.884922  587.542132  582.815741  576.404417  559.673773  556.492375 
Temperature ,  596.795037  596.654456  596.313367  595.707326  594.723522  593.198203  590.911502  587.584585  582.881577  576.502884  559.858097  556.701580 
Temperature ,  596.796491  596.656308  596.316233  595.712130  594.731748  593.212206  590.934886  587.622616  582.941565  576.594000  560.031799  556.899626 
Temperature ,  596.797615  596.657760  596.318529  595.716065  594.738634  593.224176  590.955283  587.656433  582.995875  576.677869  560.194804  557.086402 
Temperature ,  596.798473  596.658884  596.320344  595.719249  594.744334  593.234305  590.972910  587.686256  583.044698  576.754613  560.347044  557.261798 
Temperature ,  596.799117  596.659740  596.321760  595.721793  594.748995  593.242779  590.987989  587.712320  583.088247  576.824374  560.488464  557.425712 
Temperature ,  596.799593  596.660383  596.322849  595.723797  594.752758  593.249784  591.000748  587.734875  583.126755  576.887322  560.619031  557.578057 
Temperature ,  596.799939  596.660859  596.323673  595.725354  594.755753  593.255500  591.011414  587.754181  583.160479  576.943653  560.738742  557.718766 
Temperature ,  596.800186  596.661204  596.324287  595.726543  594.758103  593.260100  591.020215  587.770513  583.189703  576.993602  560.847633  557.847807 
Temperature ,  596.800359  596.661450  596.324736  595.727437  594.759917  593.263746  591.027377  587.784151  583.214733  577.037436  560.945799  557.965192 
Temperature ,  596.800478  596.661622  596.325059  595.728098  594.761294  593.266590  591.033118  587.795380  583.235897  577.075469  561.033401  558.070997 
Temperature ,  596.800557  596.661740  596.325286  595.728577  594.762320  593.268770  591.037644  587.804486  583.253544  577.108052  561.110691  558.165378 
Temperature ,  596.800610  596.661819  596.325443  595.728917  594.763071  593.270411  591.041152  587.811751  583.268035  577.135581  561.178017  558.248590 
Temperature ,  596.800643  596.661870  596.325548  595.729153  594.763608  593.271623  591.043819  587.817444  583.279739  577.158486  561.235837  558.320999 
Temperature ,  596.800664  596.661903  596.325617  595.729313  594.763984  593.272497  591.045808  587.821822  583.289024  577.177228  561.284722  558.383100 
Temperature ,  596.800676  596.661922  596.325661  595.729418  594.764241  593.273115  591.047258  587.825120  583.296248  577.192289  561.325347  558.435509 
Temperature ,  596.800682  596.661934  596.325688  595.729485  594.764411  593.273540  591.048290  587.827551  583.301754  577.204157  561.358481  558.478967 
Temperature ,  596.800685  596.661940  596.325703  595.729526  594.764520  593.273823  591.049006  587.829298  583.305856  577.213312  561.384962  558.514318 
Temperature ,  596.800686  596.661942  596.325711  595.729549  594.764586  593.274005  591.049488  587.830522  583.308839  577.220216  561.405667  558.542482 
Temperature ,  596.800686  596.661943  596.325714  595.729561  594.764624  593.274117  591.049801  587.831354  583.310950  577.225293  561.421478  558.564421 
Temperature ,  596.800686  596.661943  596.325714  595.729561  594.764624  593.274118  591.049802  587.831355  583.310952  577.225295  561.421482  558.564426 
 
 rod_temps    2.0100000000000011     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  632.290827  631.698989  630.351429  628.193001  625.106521  620.931622  615.471230  608.497186  599.756746  589.122153  562.851633  557.699094 
Temperature ,  632.330449  631.741572  630.400738  628.253034  625.181779  621.027256  615.593129  608.651996  599.951815  589.364769  563.209398  558.085177 
Temperature ,  632.366899  631.780858  630.446477  628.309092  625.252541  621.117784  615.709249  608.800332  600.139738  589.599644  563.558226  558.462154 
Temperature ,  632.400476  631.817152  630.488965  628.361515  625.319175  621.203601  615.820022  608.942663  600.321022  589.827321  563.898744  558.830669 
Temperature ,  632.431313  631.850587  630.528332  628.410425  625.381793  621.284809  615.925530  609.079049  600.495698  590.047805  564.230893  559.190651 
Temperature ,  632.459547  631.881297  630.564709  628.455950  625.440512  621.361512  616.025858  609.209552  600.663805  590.261102  564.554614  559.542028 
Temperature ,  632.485313  631.909417  630.598227  628.498216  625.495453  621.433815  616.121096  609.334240  600.825379  590.467223  564.869849  559.884728 
Temperature ,  632.508745  631.935080  630.629021  628.537352  625.546737  621.501830  616.211337  609.453181  600.980465  590.666179  565.176541  560.218680 
Temperature ,  632.529977  631.958422  630.657222  628.573488  625.594487  621.565670  616.296678  609.566451  601.129109  590.857986  565.474633  560.543816 
Temperature ,  632.549143  631.979574  630.682964  628.606757  625.638831  621.625451  616.377218  609.674128  601.271361  591.042661  565.764071  560.860064 
Temperature ,  632.566374  631.998671  630.706380  628.637289  625.679897  621.681292  616.453064  609.776295  601.407275  591.220226  566.044801  561.167356 
Temperature ,  632.581801  632.015842  630.727602  628.665219  625.717815  621.733317  616.524323  609.873038  601.536910  591.390707  566.316768  561.465624 
Temperature ,  632.595552  632.031217  630.746763  628.690679  625.752718  621.781652  616.591109  609.964449  601.660328  591.554130  566.579921  561.754799 
Temperature ,  632.607751  632.044923  630.763991  628.713802  625.784738  621.826426  616.653537  610.050618  601.777560  591.710363  566.833326  562.033182 
Temperature ,  632.618522  632.057085  630.779417  628.734722  625.814009  621.867759  616.711691  610.131530  601.888371  591.858802  567.075766  562.300292 
Temperature ,  632.627981  632.067822  630.793165  628.753565  625.840654  621.905758  616.765642  610.207223  601.992859  591.999897  567.308966  562.558058 
Temperature ,  632.636242  632.077252  630.805355  628.770458  625.864802  621.940553  616.815527  610.277868  602.091270  592.133960  567.533207  562.806590 
Temperature ,  632.643415  632.085486  630.816108  628.785530  625.886591  621.972293  616.861511  610.343646  602.183789  592.261148  567.748510  563.045855 
Temperature ,  632.649606  632.092635  630.825542  628.798910  625.906165  622.001135  616.903760  610.404724  602.270569  592.381571  567.954857  563.275801 
Temperature ,  632.654913  632.098803  630.833771  628.810728  625.923670  622.027239  616.942441  610.461265  602.351748  592.495321  568.152223  563.496374 
Temperature ,  632.659433  632.104092  630.840909  628.821110  625.939248  622.050761  616.977717  610.513426  602.427459  592.602488  568.340581  563.707521 
Temperature ,  632.659434  632.104093  630.840910  628.821112  625.939249  622.050763  616.977720  610.513429  602.427463  592.602493  568.340588  563.707529 
 
 rod_temps    3.0099999999999798     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  658.580746  657.584417  655.348690  651.856640  647.025551  640.737270  632.846800  623.188048  611.579325  598.010161  565.180941  558.683815 
Temperature ,  658.699218  657.707253  655.481258  652.004244  647.193631  640.931465  633.072951  623.452160  611.887496  598.367800  565.655318  559.185433 
Temperature ,  658.812525  657.824856  655.608450  652.146265  647.355875  641.119540  633.292691  623.709590  612.188757  598.718374  566.122394  559.679760 
Temperature ,  658.921071  657.937636  655.730686  652.283136  647.512729  641.301960  633.506508  623.960847  612.483639  599.062434  566.582761  560.167394 
Temperature ,  659.024943  658.045678  655.848043  652.414926  647.664254  641.478776  633.714435  624.205949  612.772141  599.399963  567.036361  560.648270 
Temperature ,  659.124232  658.149068  655.960604  652.541711  647.810515  641.650036  633.916509  624.444913  613.054267  599.730944  567.483140  561.122325 
Temperature ,  659.219028  658.247897  656.068453  652.663566  647.951576  641.815793  634.112766  624.677762  613.330018  600.055362  567.923041  561.589494 
Temperature ,  659.309427  658.342256  656.171676  652.780570  648.087505  641.976102  634.303246  624.904517  613.599398  600.373204  568.356010  562.049716 
Temperature ,  659.395524  658.432239  656.270363  652.892803  648.218372  642.131021  634.487991  625.125204  613.862416  600.684456  568.781993  562.502928 
Temperature ,  659.477418  658.517942  656.364603  653.000348  648.344249  642.280607  634.667045  625.339849  614.119078  600.989108  569.200926  562.949019 
Temperature ,  659.555206  658.599459  656.454483  653.103273  648.465171  642.424827  634.840232  625.547994  614.368381  601.285183  569.607923  563.382091 
Temperature ,  659.628951  658.676837  656.540013  653.201524  648.580982  642.563387  635.007114  625.749144  614.610066  601.573289  570.006808  563.807497 
Temperature ,  659.698686  658.750105  656.621213  653.295123  648.691732  642.696427  635.168007  625.943878  614.845007  601.854467  570.398526  564.225753 
Temperature ,  659.764509  658.819365  656.698200  653.384210  648.797602  642.824171  635.323178  626.132490  615.073483  602.128928  570.783091  564.636828 
Temperature ,  659.826551  658.884753  656.771117  653.468939  648.898753  642.946790  635.472799  626.315135  615.295622  602.396757  571.160480  565.040673 
Temperature ,  659.884951  658.946407  656.840103  653.549450  648.995326  643.064419  635.616991  626.491919  615.511499  602.657996  571.530658  565.437236 
Temperature ,  659.939844  659.004464  656.905294  653.625873  649.087444  643.177171  635.755854  626.662921  615.721171  602.912673  571.893583  565.826463 
Temperature ,  659.991363  659.059054  656.966815  653.698332  649.175223  643.285149  635.889476  626.828207  615.924681  603.160806  572.249216  566.208303 
Temperature ,  660.039635  659.110302  657.024792  653.766944  649.258771  643.388451  636.017937  626.987840  616.122068  603.402409  572.597515  566.582701 
Temperature ,  660.084785  659.158333  657.079342  653.831822  649.338193  643.487169  636.141315  627.141879  616.313368  603.637495  572.938438  566.949607 
Temperature ,  660.126936  659.203268  657.130585  653.893080  649.413594  643.581397  636.259688  627.290381  616.498618  603.866075  573.271944  567.308966 
Temperature ,  660.126939  659.203271  657.130588  653.893083  649.413597  643.581401  636.259693  627.290386  616.498625  603.866082  573.271954  567.308977 
 
 rod_temps    4.0099999999999589     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  677.529150  676.231686  673.336336  668.858006  662.743846  654.911250  645.257065  633.662661  619.998251  604.336152  566.837633  559.384038 
Temperature ,  677.743952  676.451219  673.566355  669.104041  663.011359  655.205644  645.583658  634.026630  620.404560  604.788838  567.398319  559.969222 
Temperature ,  677.952702  676.664678  673.790254  669.343893  663.272619  655.493720  645.903885  634.384221  620.804526  605.235279  567.953069  560.548581 
Temperature ,  678.155868  676.872533  674.008507  669.578043  663.528115  655.775975  646.218255  634.735948  621.198670  605.676002  568.502412  561.122641 
Temperature ,  678.353493  677.074826  674.221152  669.806523  663.777871  656.052426  646.526771  635.081806  621.586976  606.110976  569.046291  561.691340 
Temperature ,  678.545623  677.271600  674.428229  670.029366  664.021913  656.323088  646.829441  635.421789  621.969426  606.540172  569.584652  562.254620 
Temperature ,  678.732305  677.462900  674.629778  670.246608  664.260270  656.587980  647.126272  635.755894  622.346003  606.963564  570.117441  562.812420 
Temperature ,  678.913588  677.648774  674.825843  670.458286  664.492969  656.847122  647.417272  636.084118  622.716695  607.381123  570.644604  563.364681 
Temperature ,  679.089522  677.829269  675.016468  670.664435  664.720030  657.100503  647.702373  636.406272  623.081064  607.791952  571.163801  563.908476 
Temperature ,  679.260003  678.004249  675.201431  670.864686  664.940857  657.347191  647.980188  636.720418  623.436632  608.193241  571.672096  564.441374 
Temperature ,  679.424724  678.173397  675.380413  671.058748  665.155250  657.587205  648.251142  637.027624  623.785331  608.587907  572.174503  564.968590 
Temperature ,  679.583817  678.336877  675.553641  671.246938  665.363641  657.821095  648.515879  637.328569  624.127796  608.976444  572.671119  565.490131 
Temperature ,  679.737508  678.494918  675.721355  671.429510  665.566295  658.049127  648.774654  637.623484  624.464213  609.358983  573.161934  566.005956 
Temperature ,  679.885975  678.647700  675.883732  671.606638  665.763376  658.271454  649.027604  637.912481  624.794664  609.735570  573.646915  566.516018 
Temperature ,  680.029355  678.795357  676.040904  671.778445  665.955000  658.488179  649.274813  638.195623  625.119190  610.106222  574.126023  567.020265 
Temperature ,  680.167763  678.938001  676.192977  671.945032  666.141256  658.699376  649.516341  638.472954  625.437814  610.470940  574.599216  567.518645 
Temperature ,  680.301297  679.075729  676.340043  672.106481  666.322218  658.905109  649.752236  638.744503  625.750549  610.829721  575.066448  568.011106 
Temperature ,  680.430049  679.208629  676.482186  672.262871  666.497952  659.105432  649.982539  639.010298  626.057405  611.182557  575.527674  568.497594 
Temperature ,  680.554103  679.336786  676.619485  672.414272  666.668522  659.300396  650.207288  639.270362  626.358389  611.529440  575.982849  568.978058 
Temperature ,  680.673542  679.460279  676.752015  672.560754  666.833987  659.490049  650.426519  639.524715  626.653507  611.870358  576.431928  569.452444 
Temperature ,  680.788449  679.579188  676.879853  672.702384  666.994406  659.674441  650.640266  639.773379  626.942765  612.205302  576.874865  569.920702 
Temperature ,  680.788454  679.579193  676.879857  672.702390  666.994412  659.674447  650.640273  639.773387  626.942774  612.205312  576.874878  569.920715 
 
 rod_temps    5.0099999999999376     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  691.116973  689.602269  686.231277  681.042301  674.004595  665.061729  654.141142  641.158604  626.021639  608.861696  568.022651  559.884881 
Temperature ,  691.429129  689.918956  686.557975  681.384206  674.366733  665.448949  654.558065  641.609573  626.510645  609.391759  568.647550  560.530908 
Temperature ,  691.735085  690.229449  686.878492  681.719954  674.722758  665.830120  654.969038  642.054729  626.994025  609.916436  569.267671  561.172319 
Temperature ,  692.035336  690.534242  687.193324  682.050043  675.073166  666.205741  655.374557  642.494566  627.472266  610.436206  569.883466  561.809558 
Temperature ,  692.329894  690.833347  687.502480  682.374479  675.417958  666.575806  655.774610  642.929063  627.945341  610.951033  570.494883  562.442571 
Temperature ,  692.618773  691.126776  687.805968  682.693265  675.757134  666.940309  656.169183  643.358201  628.413222  611.460882  571.101870  563.071303 
Temperature ,  692.901988  691.414543  688.103801  683.006410  676.090696  667.299246  656.558265  643.781960  628.875882  611.965718  571.704378  563.695700 
Temperature ,  693.179555  691.696664  688.395991  683.313922  676.418647  667.652609  656.941834  644.200286  629.333193  612.465251  572.301546  564.314615 
Temperature ,  693.451090  691.972698  688.681970  683.615018  676.739880  667.998833  657.317699  644.610181  629.781192  612.954513  572.886373  564.920922 
Temperature ,  693.715756  692.241820  688.960949  683.909001  677.053888  668.337762  657.686282  645.012947  630.222397  613.437512  573.466322  565.522689 
Temperature ,  693.974048  692.504570  689.233562  684.196636  677.361589  668.670457  658.048751  645.409770  630.657893  613.915099  574.041600  566.119975 
Temperature ,  694.226375  692.761356  689.500218  684.478329  677.663378  668.997292  658.405443  645.800942  631.087913  614.387439  574.612210  566.712747 
Temperature ,  694.472962  693.012401  689.761131  684.754283  677.959442  669.318435  658.756504  646.186578  631.512540  614.854579  575.178122  567.300961 
Temperature ,  694.713942  693.257836  690.016427  685.024614  678.249885  669.633975  659.102005  646.566732  631.931804  615.316530  575.739298  567.884568 
Temperature ,  694.949407  693.497749  690.266190  685.289399  678.534776  669.943969  659.441988  646.941430  632.345717  615.773285  576.295696  568.463520 
Temperature ,  695.179426  693.732207  690.510481  685.548695  678.814160  670.248453  659.776478  647.310684  632.754278  616.224830  576.847270  569.037766 
Temperature ,  695.404055  693.961266  690.749353  685.802545  679.088076  670.547456  660.105494  647.674500  633.157481  616.671147  577.393976  569.607253 
Temperature ,  695.623343  694.184972  690.982849  686.050988  679.356556  670.840999  660.429048  648.032881  633.555316  617.112215  577.935767  570.171933 
Temperature ,  695.837337  694.403371  691.211011  686.294061  679.619626  671.129104  660.747150  648.385828  633.947773  617.548012  578.472599  570.731754 
Temperature ,  696.046081  694.616505  691.433876  686.531797  679.877316  671.411789  661.059811  648.733339  634.334842  617.978518  579.004425  571.286666 
Temperature ,  696.249618  694.824416  691.651484  686.764229  680.129649  671.689068  661.367021  649.075352  634.716314  618.403154  579.529263  571.833870 
Temperature ,  696.249625  694.824423  691.651491  686.764236  680.129657  671.689077  661.367031  649.075362  634.716325  618.403165  579.529278  571.833885 
 
 rod_temps    6.0099999999999163     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  700.851403  699.180891  695.468787  689.770240  682.070427  672.331769  660.503696  646.526677  630.334974  612.102367  568.871202  560.243515 
Temperature ,  701.253511  699.587062  695.883916  690.198931  682.517081  672.800557  660.998514  647.051091  630.892158  612.694581  569.543879  560.933894 
Temperature ,  701.649712  699.987345  696.293205  690.621857  682.958074  673.263823  661.487986  647.570376  631.444478  613.282237  570.212743  561.620642 
Temperature ,  702.040496  700.382233  696.697144  691.039504  683.393888  673.722042  661.972579  648.084987  631.992372  613.865758  570.878174  562.304129 
Temperature ,  702.425855  700.771715  697.095720  691.451858  683.824507  674.175193  662.452267  648.594897  632.535809  614.445109  571.540124  562.984305 
Temperature ,  702.805782  701.155783  697.488925  691.858908  684.249915  674.623258  662.927027  649.100076  633.074755  615.020250  572.198548  563.661123 
Temperature ,  703.180271  701.534430  697.876750  692.260641  684.670097  675.066218  663.396837  649.600496  633.609178  615.591146  572.853399  564.334535 
Temperature ,  703.549148  701.907457  698.258932  692.656688  685.084517  675.503291  663.860566  650.094548  634.136818  616.154698  573.499452  564.998738 
Temperature ,  703.910531  702.272929  698.633423  693.044851  685.490819  675.931998  664.315700  650.579838  634.655644  616.709555  574.137331  565.655020 
Temperature ,  704.265018  702.631530  699.001108  693.426311  685.890570  676.354361  664.764757  651.059386  635.169132  617.259535  574.771427  566.307774 
Temperature ,  704.613451  702.984102  699.362819  693.801884  686.284555  676.771115  665.208406  651.533769  635.677747  617.804979  575.401793  566.956992 
Temperature ,  704.956163  703.330974  699.718872  694.171869  686.673049  677.182507  665.646858  652.003161  636.181618  618.345971  576.028415  567.602640 
Temperature ,  705.293311  703.672296  700.069413  694.536400  687.056172  677.588642  666.080198  652.467623  636.680786  618.882530  576.651260  568.244676 
Temperature ,  705.624977  704.008150  700.414518  694.895546  687.433985  677.989567  666.508461  652.927180  637.175261  619.414650  577.270289  568.883053 
Temperature ,  705.951210  704.338585  700.754231  695.249347  687.806519  678.385307  666.931663  653.381835  637.665035  619.942313  577.885463  569.517728 
Temperature ,  706.272046  704.663632  701.088582  695.597827  688.173795  678.775873  667.349807  653.831583  638.150094  620.465497  578.496739  570.148653 
Temperature ,  706.587508  704.983315  701.417591  695.941002  688.535822  679.161271  667.762891  654.276414  638.630420  620.984176  579.104072  570.775783 
Temperature ,  706.897616  705.297653  701.741275  696.278886  688.892609  679.541502  668.170910  654.716316  639.105994  621.498322  579.707422  571.399070 
Temperature ,  707.202388  705.606661  702.059648  696.611488  689.244160  679.916566  668.573857  655.151275  639.576794  622.007907  580.306742  572.018469 
Temperature ,  707.501814  705.910321  702.372660  696.938704  689.590265  680.286060  668.970996  655.579995  640.040623  622.509372  580.894727  572.625474 
Temperature ,  707.795523  706.208213  702.679790  697.259857  689.930063  680.648952  669.361228  656.001570  640.497260  623.003955  581.477160  573.227628 
Temperature ,  707.795532  706.208222  702.679799  697.259866  689.930073  680.648963  669.361239  656.001581  640.497273  623.003969  581.477176  573.227644 
 
 rod_temps    7.0099999999998950     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  707.823962  706.041824  702.085341  696.021737  687.847608  677.538889  665.060773  650.371427  633.424267  614.423391  569.478945  560.500373 
Temperature ,  708.304973  706.526330  702.577544  696.525567  688.366790  678.076914  665.620851  650.956438  634.036713  615.064957  570.187136  561.223085 
Temperature ,  708.780607  707.005487  703.064463  697.024212  688.880922  678.610060  666.176260  651.537031  634.645033  615.702727  570.892308  561.942962 
Temperature ,  709.251330  707.479760  703.546558  697.518127  689.390451  679.138764  666.727425  652.113615  635.249615  616.337065  571.594774  562.660303 
Temperature ,  709.717119  707.949128  704.023806  698.007287  689.895350  679.662999  667.274316  652.686156  635.850426  616.967936  572.294493  563.375067 
Temperature ,  710.177957  708.413568  704.496187  698.491670  690.395595  680.182736  667.816902  653.254623  636.447429  617.595302  572.991424  564.087213 
